date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
43903,USA-01,Alabama,6,0.86,0.02,0,0,0
43904,USA-01,Alabama,6,1.71,0.03,0,0,0
43905,USA-01,Alabama,11,3.29,0.07,0,0,0
43906,USA-01,Alabama,6,4.14,0.08,0,0,0
43907,USA-01,Alabama,10,5.57,0.11,0,0,0
43908,USA-01,Alabama,12,7.29,0.15,0,0,0
43909,USA-01,Alabama,27,11.14,0.23,0,0,0
43910,USA-01,Alabama,28,14.29,0.29,0,0,0
43911,USA-01,Alabama,25,17,0.35,0,0,0
43912,USA-01,Alabama,26,19.14,0.39,0,0,0
43913,USA-01,Alabama,39,23.86,0.49,0,0,0
43914,USA-01,Alabama,46,29,0.59,0,0,0
43915,USA-01,Alabama,144,47.86,0.98,1,0.14,0
43916,USA-01,Alabama,152,65.71,1.34,2,0.43,0.01
43917,USA-01,Alabama,101,76.14,1.55,1,0.57,0.01
43918,USA-01,Alabama,81,84.14,1.72,0,0.57,0.01
43919,USA-01,Alabama,110,96.14,1.96,1,0.71,0.01
43920,USA-01,Alabama,117,107.29,2.19,6,1.57,0.03
43921,USA-01,Alabama,52,108.14,2.21,3,2,0.04
43922,USA-01,Alabama,109,103.14,2.1,14,3.86,0.08
43923,USA-01,Alabama,162,104.57,2.13,4,4.14,0.08
43924,USA-01,Alabama,265,128,2.61,6,4.86,0.1
43925,USA-01,Alabama,97,130.29,2.66,6,5.71,0.12
43926,USA-01,Alabama,208,144.29,2.94,1,5.71,0.12
43927,USA-01,Alabama,165,151.14,3.08,8,6,0.12
43928,USA-01,Alabama,192,171.14,3.49,11,7.14,0.15
43929,USA-01,Alabama,301,198.57,4.05,3,5.57,0.11
43930,USA-01,Alabama,340,224,4.57,11,6.57,0.13
43931,USA-01,Alabama,170,210.43,4.29,2,6,0.12
43932,USA-01,Alabama,254,232.86,4.75,13,7,0.14
43933,USA-01,Alabama,321,249,5.08,0,6.86,0.14
43934,USA-01,Alabama,222,257.14,5.24,11,7.29,0.15
43935,USA-01,Alabama,148,250.86,5.12,10,7.14,0.15
43936,USA-01,Alabama,288,249,5.08,9,8,0.16
43937,USA-01,Alabama,163,223.71,4.56,14,8.43,0.17
43938,USA-01,Alabama,168,223.43,4.56,14,10.14,0.21
43939,USA-01,Alabama,151,208.71,4.26,-4,9.67,0.2
43940,USA-01,Alabama,180,188.57,3.85,13,11.83,0.24
43941,USA-01,Alabama,175,181.86,3.71,4,10.67,0.22
43942,USA-01,Alabama,249,196.29,4,22,12.67,0.26
43943,USA-01,Alabama,283,195.57,3.99,15,13.67,0.28
43944,USA-01,Alabama,222,204,4.16,-4,13.6,0.28
43945,USA-01,Alabama,194,207.71,4.24,12,13.2,0.27
43946,USA-01,Alabama,187,212.86,4.34,4,11.67,0.24
43947,USA-01,Alabama,208,216.86,4.42,6,10.5,0.21
43948,USA-01,Alabama,118,208.71,4.26,9,11.33,0.23
43949,USA-01,Alabama,211,203.29,4.15,14,10,0.2
43950,USA-01,Alabama,175,187.86,3.83,20,10.83,0.22
43951,USA-01,Alabama,143,176.57,3.6,10,10.71,0.22
43952,USA-01,Alabama,226,181.14,3.69,17,11.43,0.23
43953,USA-01,Alabama,317,199.71,4.07,-1,12.67,0.26
43954,USA-01,Alabama,277,209.57,4.27,2,12,0.24
43955,USA-01,Alabama,224,224.71,4.58,8,11.83,0.24
43956,USA-01,Alabama,325,241,4.92,17,12.33,0.25
43957,USA-01,Alabama,254,252.29,5.15,28,13.67,0.28
43958,USA-01,Alabama,355,282.57,5.76,26,16.33,0.33
43959,USA-01,Alabama,339,298.71,6.09,14,15.83,0.32
