date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
3/13/20,USA-01,Alabama,6,0.86,0.02,0,0,0
3/14/20,USA-01,Alabama,6,1.71,0.03,0,0,0
3/15/20,USA-01,Alabama,11,3.29,0.07,0,0,0
3/16/20,USA-01,Alabama,6,4.14,0.08,0,0,0
3/17/20,USA-01,Alabama,10,5.57,0.11,0,0,0
3/18/20,USA-01,Alabama,12,7.29,0.15,0,0,0
3/19/20,USA-01,Alabama,27,11.14,0.23,0,0,0
3/20/20,USA-01,Alabama,28,14.29,0.29,0,0,0
3/21/20,USA-01,Alabama,25,17,0.35,0,0,0
3/22/20,USA-01,Alabama,26,19.14,0.39,0,0,0
3/23/20,USA-01,Alabama,39,23.86,0.49,0,0,0
3/24/20,USA-01,Alabama,46,29,0.59,0,0,0
3/25/20,USA-01,Alabama,144,47.86,0.98,1,0.14,0
3/26/20,USA-01,Alabama,152,65.71,1.34,2,0.43,0.01
3/27/20,USA-01,Alabama,101,76.14,1.55,1,0.57,0.01
3/28/20,USA-01,Alabama,81,84.14,1.72,0,0.57,0.01
3/29/20,USA-01,Alabama,110,96.14,1.96,1,0.71,0.01
3/30/20,USA-01,Alabama,117,107.29,2.19,6,1.57,0.03
3/31/20,USA-01,Alabama,52,108.14,2.21,3,2,0.04
4/1/20,USA-01,Alabama,109,103.14,2.1,14,3.86,0.08
4/2/20,USA-01,Alabama,162,104.57,2.13,4,4.14,0.08
4/3/20,USA-01,Alabama,265,128,2.61,6,4.86,0.1
4/4/20,USA-01,Alabama,97,130.29,2.66,6,5.71,0.12
4/5/20,USA-01,Alabama,208,144.29,2.94,1,5.71,0.12
4/6/20,USA-01,Alabama,165,151.14,3.08,8,6,0.12
4/7/20,USA-01,Alabama,192,171.14,3.49,11,7.14,0.15
4/8/20,USA-01,Alabama,301,198.57,4.05,3,5.57,0.11
4/9/20,USA-01,Alabama,340,224,4.57,11,6.57,0.13
4/10/20,USA-01,Alabama,170,210.43,4.29,2,6,0.12
4/11/20,USA-01,Alabama,254,232.86,4.75,13,7,0.14
4/12/20,USA-01,Alabama,321,249,5.08,0,6.86,0.14
4/13/20,USA-01,Alabama,222,257.14,5.24,11,7.29,0.15
4/14/20,USA-01,Alabama,148,250.86,5.12,10,7.14,0.15
4/15/20,USA-01,Alabama,288,249,5.08,9,8,0.16
4/16/20,USA-01,Alabama,163,223.71,4.56,14,8.43,0.17
4/17/20,USA-01,Alabama,168,223.43,4.56,14,10.14,0.21
4/18/20,USA-01,Alabama,151,208.71,4.26,-4,9.67,0.2
4/19/20,USA-01,Alabama,180,188.57,3.85,13,11.83,0.24
4/20/20,USA-01,Alabama,175,181.86,3.71,4,10.67,0.22
4/21/20,USA-01,Alabama,249,196.29,4,22,12.67,0.26
4/22/20,USA-01,Alabama,283,195.57,3.99,15,13.67,0.28
4/23/20,USA-01,Alabama,222,204,4.16,-4,13.6,0.28
4/24/20,USA-01,Alabama,194,207.71,4.24,12,13.2,0.27
4/25/20,USA-01,Alabama,187,212.86,4.34,4,11.67,0.24
4/26/20,USA-01,Alabama,208,216.86,4.42,6,10.5,0.21
4/27/20,USA-01,Alabama,118,208.71,4.26,9,11.33,0.23
4/28/20,USA-01,Alabama,211,203.29,4.15,14,10,0.2
4/29/20,USA-01,Alabama,175,187.86,3.83,20,10.83,0.22
4/30/20,USA-01,Alabama,143,176.57,3.6,10,10.71,0.22
5/1/20,USA-01,Alabama,226,181.14,3.69,17,11.43,0.23
5/2/20,USA-01,Alabama,317,199.71,4.07,-1,12.67,0.26
5/3/20,USA-01,Alabama,277,209.57,4.27,2,12,0.24
5/4/20,USA-01,Alabama,224,224.71,4.58,8,11.83,0.24
5/5/20,USA-01,Alabama,325,241,4.92,17,12.33,0.25
5/6/20,USA-01,Alabama,254,252.29,5.15,28,13.67,0.28
5/7/20,USA-01,Alabama,355,282.57,5.76,26,16.33,0.33
5/8/20,USA-01,Alabama,339,298.71,6.09,14,15.83,0.32
5/9/20,USA-01,Alabama,283,293.86,5.99,7,14.57,0.3
5/10/20,USA-01,Alabama,221,285.86,5.83,3,14.71,0.3
5/11/20,USA-01,Alabama,275,293.14,5.98,10,15,0.31
5/12/20,USA-01,Alabama,300,289.57,5.91,32,17.14,0.35
5/13/20,USA-01,Alabama,236,287,5.85,15,15.29,0.31
5/14/20,USA-01,Alabama,401,293.57,5.99,23,14.86,0.3
5/15/20,USA-01,Alabama,272,284,5.79,10,14.29,0.29
5/16/20,USA-01,Alabama,301,286.57,5.84,2,13.57,0.28
5/17/20,USA-01,Alabama,97,268.86,5.48,3,13.57,0.28
5/18/20,USA-01,Alabama,315,274.57,5.6,1,12.29,0.25
5/19/20,USA-01,Alabama,290,273.14,5.57,15,9.86,0.2
5/20/20,USA-01,Alabama,676,336,6.85,18,10.29,0.21
5/21/20,USA-01,Alabama,362,330.43,6.74,7,8,0.16
5/22/20,USA-01,Alabama,256,328.14,6.69,12,8.29,0.17
5/23/20,USA-01,Alabama,479,353.57,7.21,8,9.14,0.19
5/24/20,USA-01,Alabama,329,386.71,7.89,2,9,0.18
5/25/20,USA-01,Alabama,508,414.29,8.45,15,11,0.22
5/26/20,USA-01,Alabama,664,467.71,9.54,14,10.86,0.22
5/27/20,USA-01,Alabama,382,425.71,8.68,3,8.71,0.18
5/28/20,USA-01,Alabama,498,445.14,9.08,8,8.86,0.18
5/29/20,USA-01,Alabama,501,480.14,9.79,19,9.86,0.2
5/30/20,USA-01,Alabama,328,458.57,9.35,8,9.86,0.2
5/31/20,USA-01,Alabama,593,496.29,10.12,12,11.29,0.23
6/1/20,USA-01,Alabama,582,506.86,10.34,16,11.43,0.23
6/2/20,USA-01,Alabama,237,445.86,9.09,7,10.43,0.21
6/3/20,USA-01,Alabama,80,402.71,8.21,0,10,0.2
6/4/20,USA-01,Alabama,221,363.14,7.41,0,8.86,0.18
6/5/20,USA-01,Alabama,315,336.57,6.86,23,9.43,0.19
6/6/20,USA-01,Alabama,656,383.43,7.82,13,10.14,0.21
6/7/20,USA-01,Alabama,457,364,7.42,3,8.86,0.18
6/8/20,USA-01,Alabama,425,341.57,6.97,26,10.29,0.21
6/9/20,USA-01,Alabama,497,378.71,7.72,11,10.86,0.22
6/10/20,USA-01,Alabama,567,448.29,9.14,15,13,0.27
6/11/20,USA-01,Alabama,856,539,10.99,11,14.57,0.3
6/12/20,USA-01,Alabama,865,617.57,12.6,14,13.29,0.27
6/13/20,USA-01,Alabama,891,651.14,13.28,4,12,0.24
6/14/20,USA-01,Alabama,1014,730.71,14.9,0,11.57,0.24
6/15/20,USA-01,Alabama,657,763.86,15.58,1,8,0.16
6/16/20,USA-01,Alabama,640,784.29,16,11,8,0.16
6/17/20,USA-01,Alabama,400,760.43,15.51,5,6.57,0.13
6/18/20,USA-01,Alabama,894,765.86,15.62,20,7.86,0.16
6/19/20,USA-01,Alabama,796,756,15.42,12,7.57,0.15
6/20/20,USA-01,Alabama,547,706.86,14.42,16,9.29,0.19
6/21/20,USA-01,Alabama,472,629.43,12.84,1,9.43,0.19
6/22/20,USA-01,Alabama,433,597.43,12.18,2,9.57,0.2
6/23/20,USA-01,Alabama,643,597.86,12.19,23,11.29,0.23
6/24/20,USA-01,Alabama,967,678.86,13.85,27,14.43,0.29
6/25/20,USA-01,Alabama,1142,714.29,14.57,5,12.29,0.25
6/26/20,USA-01,Alabama,977,740.14,15.1,11,12.14,0.25
6/27/20,USA-01,Alabama,900,790.57,16.12,12,11.57,0.24
6/28/20,USA-01,Alabama,358,774.29,15.79,0,11.43,0.23
6/29/20,USA-01,Alabama,1734,960.14,19.58,10,12.57,0.26
6/30/20,USA-01,Alabama,870,992.57,20.24,21,12.29,0.25
7/1/20,USA-01,Alabama,917,985.43,20.1,22,11.57,0.24
7/2/20,USA-01,Alabama,1149,986.43,20.12,13,12.71,0.26
7/3/20,USA-01,Alabama,1754,1097.43,22.38,21,14.14,0.29
7/4/20,USA-01,Alabama,997,1111.29,22.66,1,12.57,0.26
7/5/20,USA-01,Alabama,1091,1216,24.8,0,12.57,0.26
7/6/20,USA-01,Alabama,925,1100.43,22.44,0,11.14,0.23
7/7/20,USA-01,Alabama,907,1105.71,22.55,26,11.86,0.24
7/8/20,USA-01,Alabama,1177,1142.86,23.31,25,12.29,0.25
7/9/20,USA-01,Alabama,2212,1294.71,26.41,10,11.86,0.24
7/10/20,USA-01,Alabama,1334,1234.71,25.18,36,14,0.29
7/11/20,USA-01,Alabama,1439,1297.86,26.47,10,15.29,0.31
7/12/20,USA-01,Alabama,1640,1376.29,28.07,7,16.29,0.33
7/13/20,USA-01,Alabama,1958,1523.86,31.08,3,16.71,0.34
7/14/20,USA-01,Alabama,1710,1638.57,33.42,40,18.71,0.38
7/15/20,USA-01,Alabama,1812,1729.29,35.27,47,21.86,0.45
7/16/20,USA-01,Alabama,2021,1702,34.71,19,23.14,0.47
7/17/20,USA-01,Alabama,2003,1797.57,36.66,35,23,0.47
7/18/20,USA-01,Alabama,2143,1898.14,38.71,21,24.57,0.5
7/19/20,USA-01,Alabama,1777,1917.71,39.11,1,23.71,0.48
7/20/20,USA-01,Alabama,1880,1906.57,38.88,4,23.86,0.49
7/21/20,USA-01,Alabama,1467,1871.86,38.18,12,19.86,0.4
7/22/20,USA-01,Alabama,1455,1820.86,37.14,61,21.86,0.45
7/23/20,USA-01,Alabama,2399,1874.86,38.24,33,23.86,0.49
7/24/20,USA-01,Alabama,1793,1844.86,37.63,41,24.71,0.5
7/25/20,USA-01,Alabama,2125,1842.29,37.57,18,24.29,0.5
7/26/20,USA-01,Alabama,1164,1754.71,35.79,17,26.57,0.54
7/27/20,USA-01,Alabama,1821,1746.29,35.62,18,28.57,0.58
7/28/20,USA-01,Alabama,1251,1715.43,34.99,0,26.86,0.55
7/29/20,USA-01,Alabama,1416,1709.86,34.87,47,24.86,0.51
7/30/20,USA-01,Alabama,1980,1650,33.65,27,24,0.49
7/31/20,USA-01,Alabama,1961,1674,34.14,15,20.29,0.41
8/1/20,USA-01,Alabama,1626,1602.71,32.69,23,21,0.43
8/2/20,USA-01,Alabama,2095,1735.71,35.4,24,22,0.45
8/3/20,USA-01,Alabama,1217,1649.43,33.64,6,20.29,0.41
8/4/20,USA-01,Alabama,1041,1619.43,33.03,33,25,0.51
8/5/20,USA-01,Alabama,952,1553.14,31.68,29,22.43,0.46
8/6/20,USA-01,Alabama,1938,1547.14,31.55,19,21.29,0.43
8/7/20,USA-01,Alabama,1709,1511.14,30.82,21,22.14,0.45
8/8/20,USA-01,Alabama,1872,1546.29,31.54,20,21.71,0.44
8/9/20,USA-01,Alabama,1161,1412.86,28.82,13,20.14,0.41
8/10/20,USA-01,Alabama,1686,1479.86,30.18,29,23.43,0.48
8/11/20,USA-01,Alabama,831,1449.86,29.57,50,25.86,0.53
8/12/20,USA-01,Alabama,935,1447.43,29.52,35,26.71,0.54
8/13/20,USA-01,Alabama,771,1280.71,26.12,8,25.14,0.51
8/14/20,USA-01,Alabama,752,1144,23.33,3,22.57,0.46
8/15/20,USA-01,Alabama,1271,1058.14,21.58,3,20.14,0.41
8/16/20,USA-01,Alabama,853,1014.14,20.68,2,18.57,0.38
8/17/20,USA-01,Alabama,571,854.86,17.43,27,18.29,0.37
8/18/20,USA-01,Alabama,1357,930,18.97,11,12.71,0.26
8/19/20,USA-01,Alabama,1117,956,19.5,8,8.86,0.18
8/20/20,USA-01,Alabama,971,984.57,20.08,30,12,0.24
8/21/20,USA-01,Alabama,1183,1046.14,21.34,22,14.71,0.3
8/22/20,USA-01,Alabama,900,993.14,20.26,15,16.43,0.34
8/23/20,USA-01,Alabama,528,946.71,19.31,2,16.43,0.34
8/24/20,USA-01,Alabama,1650,1100.86,22.45,11,14.14,0.29
8/25/20,USA-01,Alabama,532,983,20.05,13,14.43,0.29
8/26/20,USA-01,Alabama,2012,1110.86,22.66,8,14.43,0.29
8/27/20,USA-01,Alabama,1769,1224.86,24.98,31,14.57,0.3
8/28/20,USA-01,Alabama,1162,1221.86,24.92,31,15.86,0.32
8/29/20,USA-01,Alabama,1704,1336.71,27.26,45,20.14,0.41
8/30/20,USA-01,Alabama,1346,1453.57,29.65,10,21.29,0.43
8/31/20,USA-01,Alabama,823,1335.43,27.24,20,22.57,0.46
9/1/20,USA-01,Alabama,1558,1482,30.23,18,23.29,0.47
9/2/20,USA-01,Alabama,623,1283.57,26.18,17,24.57,0.5
9/3/20,USA-01,Alabama,1046,1180.29,24.07,16,22.43,0.46
9/4/20,USA-01,Alabama,1108,1172.57,23.91,33,22.71,0.46
9/5/20,USA-01,Alabama,1410,1130.57,23.06,9,17.57,0.36
9/6/20,USA-01,Alabama,511,1011.29,20.63,1,16.29,0.33
9/7/20,USA-01,Alabama,659,987.86,20.15,0,13.43,0.27
9/8/20,USA-01,Alabama,633,855.71,17.45,1,11,0.22
9/9/20,USA-01,Alabama,811,882.57,18,8,9.71,0.2
9/10/20,USA-01,Alabama,1148,897.14,18.3,16,9.71,0.2
9/11/20,USA-01,Alabama,1138,901.43,18.38,32,9.57,0.2
9/12/20,USA-01,Alabama,943,834.71,17.02,17,10.71,0.22
9/13/20,USA-01,Alabama,1109,920.14,18.77,1,10.71,0.22
9/14/20,USA-01,Alabama,704,926.57,18.9,4,11.29,0.23
9/15/20,USA-01,Alabama,701,936.29,19.1,32,15.71,0.32
9/16/20,USA-01,Alabama,927,952.86,19.43,5,15.29,0.31
9/17/20,USA-01,Alabama,670,884.57,18.04,9,14.29,0.29
9/18/20,USA-01,Alabama,1106,880,17.95,27,13.57,0.28
9/19/20,USA-01,Alabama,1301,931.14,18.99,9,12.43,0.25
9/20/20,USA-01,Alabama,798,886.71,18.08,0,12.29,0.25
9/21/20,USA-01,Alabama,818,903,18.42,2,12,0.24
9/22/20,USA-01,Alabama,804,917.71,18.72,18,10,0.2
9/23/20,USA-01,Alabama,569,866.57,17.67,31,13.71,0.28
9/24/20,USA-01,Alabama,1053,921.29,18.79,18,15,0.31
9/25/20,USA-01,Alabama,2452,890.5,18.16,-15,13,0.27
9/26/20,USA-01,Alabama,933,829.17,16.91,10,13.17,0.27
9/27/20,USA-01,Alabama,730,817.83,16.68,1,13.33,0.27
9/28/20,USA-01,Alabama,662,791.83,16.15,-1,15.6,0.32
9/29/20,USA-01,Alabama,571,753,15.36,16,15.2,0.31
9/30/20,USA-01,Alabama,1147,849.33,17.32,23,13.6,0.28
10/1/20,USA-01,Alabama,1043,847.67,17.29,8,11.6,0.24
10/2/20,USA-01,Alabama,954,862.86,17.6,2,10,0.2
10/3/20,USA-01,Alabama,1682,969.86,19.78,8,9.67,0.2
10/4/20,USA-01,Alabama,789,978.29,19.95,0,9.5,0.19
10/5/20,USA-01,Alabama,544,961.43,19.61,1,8.29,0.17
10/6/20,USA-01,Alabama,764,989,20.17,21,9,0.18
10/7/20,USA-01,Alabama,941,959.57,19.57,21,8.71,0.18
10/8/20,USA-01,Alabama,557,890.14,18.15,36,12.71,0.26
10/9/20,USA-01,Alabama,1490,966.71,19.72,16,14.71,0.3
10/10/20,USA-01,Alabama,1061,878,17.91,11,15.14,0.31
10/11/20,USA-01,Alabama,816,881.86,17.99,0,15.14,0.31
10/12/20,USA-01,Alabama,734,909,18.54,1,15.14,0.31
10/13/20,USA-01,Alabama,1117,959.43,19.57,0,12.14,0.25
10/14/20,USA-01,Alabama,784,937,19.11,41,15,0.31
10/15/20,USA-01,Alabama,1185,1026.71,20.94,50,17,0.35
10/16/20,USA-01,Alabama,1212,987,20.13,30,19,0.39
10/17/20,USA-01,Alabama,1288,1019.43,20.79,2,17.71,0.36
10/18/20,USA-01,Alabama,964,1040.57,21.22,0,17.71,0.36
10/19/20,USA-01,Alabama,859,1058.43,21.59,1,17.71,0.36
10/20/20,USA-01,Alabama,1043,1047.86,21.37,16,20,0.41
10/21/20,USA-01,Alabama,1146,1099.57,22.43,23,17.43,0.36
10/22/20,USA-01,Alabama,1390,1128.86,23.02,15,12.43,0.25
10/23/20,USA-01,Alabama,3852,1115,22.74,16,10.43,0.21
10/24/20,USA-01,Alabama,2360,1293.67,26.38,7,11.14,0.23
10/25/20,USA-01,Alabama,1079,1312.83,26.78,0,11.14,0.23
10/26/20,USA-01,Alabama,967,1330.83,27.14,0,11,0.22
10/27/20,USA-01,Alabama,1115,1342.83,27.39,26,12.43,0.25
10/28/20,USA-01,Alabama,1269,1363.33,27.81,19,11.86,0.24
10/29/20,USA-01,Alabama,1443,1372.17,27.99,3,10.14,0.21
10/30/20,USA-01,Alabama,1347,1368.57,27.91,18,10.43,0.21
10/31/20,USA-01,Alabama,1789,1287,26.25,35,14.43,0.29
11/1/20,USA-01,Alabama,1700,1321.67,26.96,6,15.29,0.31
11/2/20,USA-01,Alabama,907,1311.67,26.75,0,15.29,0.31
11/3/20,USA-01,Alabama,1037,1298.67,26.49,14,13.57,0.28
11/4/20,USA-01,Alabama,1848,1395.17,28.45,19,13.57,0.28
11/5/20,USA-01,Alabama,1381,1384.83,28.24,20,16,0.33
11/6/20,USA-01,Alabama,1556,1419.67,28.95,23,16.71,0.34
11/7/20,USA-01,Alabama,1768,1416.17,28.88,33,16.43,0.34
11/8/20,USA-01,Alabama,1205,1386,28.27,2,15.86,0.32
11/9/20,USA-01,Alabama,1170,1423.57,29.03,0,15.86,0.32
11/10/20,USA-01,Alabama,1710,1519.71,30.99,36,19,0.39
11/11/20,USA-01,Alabama,2070,1551.43,31.64,81,27.86,0.57
11/12/20,USA-01,Alabama,2000,1639.86,33.44,12,26.71,0.54
11/13/20,USA-01,Alabama,2980,1843.29,37.59,18,26,0.53
11/14/20,USA-01,Alabama,2226,1908.71,38.93,15,23.43,0.48
